angle (°) - amplitude	amplitude (V) - amplitude	
99.8275	2.53077	
99.825	2.55908	
99.8225	2.54565	
99.82	2.55407	
99.8175	2.5421	
99.815	2.52656	
99.8125	2.5154	
99.81	2.50181	
99.8075	2.51087	
99.805	2.49841	
99.8025	2.48644	
99.8	2.47527	
99.7975	2.46379	
99.795	2.4722	
99.7925	2.56911	
99.79	2.62121	
99.7875	2.64969	
99.785	2.67719	
99.7825	2.66069	
99.78	2.64354	
99.7775	2.65001	
99.775	2.63416	
99.7725	2.61959	
99.77	2.58254	
99.7675	2.61183	
99.765	2.57575	
99.7625	2.54145	
99.76	2.52753	
99.7575	2.5133	
99.755	2.50084	
99.7525	2.49	
99.75	2.49857	
99.7475	2.48612	
99.745	2.47382	
99.7425	2.46282	
99.74	2.43046	
99.7375	2.42027	
99.735	2.40797	
99.7325	2.39826	
99.73	2.38872	
99.7275	2.40117	
99.725	2.36898	
99.7225	2.35975	
99.72	2.37173	
99.7175	2.36234	
99.715	2.33354	
99.7125	2.32335	
99.71	2.31494	
99.7075	2.30669	
99.705	2.32092	
99.7025	2.33532	
99.7	2.346	
99.6975	2.33775	
99.695	2.41654	
99.6925	2.44939	
99.69	2.46023	
99.6875	2.47107	
99.685	2.43758	
99.6825	2.44793	
99.68	2.43661	
99.6775	2.42544	
99.675	2.4159	
99.6725	2.40425	
99.67	2.39438	
99.6675	2.38467	
99.665	2.37561	
99.6625	2.36526	
99.66	2.33581	
99.6575	2.3473	
99.655	2.31817	
99.6525	2.33096	
99.65	2.34406	
99.6475	2.33516	
99.645	2.34811	
99.6425	2.36089	
99.64	2.37318	
99.6375	2.36445	
99.635	2.37545	
99.6325	2.36639	
99.63	2.35717	
99.6275	2.32675	
99.625	2.33969	
99.6225	2.33241	
99.62	2.30183	
99.6175	2.29374	
99.615	2.28679	
99.6125	2.25702	
99.61	2.25054	
99.6075	2.24391	
99.605	2.23776	
99.6025	2.25265	
99.6	2.24601	
99.5975	2.21802	
99.595	2.2122	
99.5925	2.22838	
99.59	2.2012	
99.5875	2.23809	
99.585	2.18987	
99.5825	2.1834	
99.58	2.17806	
99.5775	2.17288	
99.575	2.16868	
99.5725	2.16285	
99.57	2.15929	
99.5675	2.15525	
99.565	2.17078	
99.5625	2.16609	
99.56	2.14004	
99.5575	2.13502	
99.555	2.15363	
99.5525	2.16965	
99.55	2.18664	
99.5475	2.22401	
99.545	2.21819	
99.5425	2.21268	
99.54	2.20637	
99.5375	2.2012	
99.535	2.19537	
99.5325	2.21139	
99.53	2.22838	
99.5275	2.22142	
99.525	2.25831	
99.5225	2.25152	
99.52	2.24391	
99.5175	2.23922	
99.515	2.23161	
99.5125	2.2465	
99.51	2.23987	
99.5075	2.23404	
99.505	2.20718	
99.5025	2.20023	
99.5	2.1944	
99.4975	2.18922	
99.495	2.1834	
99.4925	2.17887	
99.49	2.15412	
99.4875	2.16932	
99.485	2.18631	
99.4825	2.20314	
99.48	2.24051	
99.4775	2.23372	
99.475	2.27142	
99.4725	2.26333	
99.47	2.2787	
99.4675	2.27093	
99.465	2.26316	
99.4625	2.25863	
99.46	2.24925	
99.4575	2.24245	
99.455	2.21479	
99.4525	2.20896	
99.45	2.20362	
99.4475	2.19829	
99.445	2.19165	
99.4425	2.22967	
99.44	2.28776	
99.4375	2.32384	
99.435	2.3384	
99.4325	2.37173	
99.43	2.36315	
99.4275	2.35312	
99.425	2.34406	
99.4225	2.335	
99.42	2.32643	
99.4175	2.31963	
99.415	2.31025	
99.4125	2.30248	
99.41	2.29407	
99.4075	2.28565	
99.405	2.27853	
99.4025	2.27174	
99.4	2.26462	
99.3975	2.25766	
99.395	2.22935	
99.3925	2.26591	
99.39	2.28161	
99.3875	2.3384	
99.385	2.37302	
99.3825	2.36428	
99.38	2.37561	
99.3775	2.36687	
99.375	2.35717	
99.3725	2.32643	
99.37	2.31785	
99.3675	2.31089	
99.365	2.30135	
99.3625	2.3803	
99.36	2.4358	
99.3575	2.46767	
99.355	2.45602	
99.3525	2.48725	
99.35	2.49841	
99.3475	2.46395	
99.345	2.4523	
99.3425	2.46249	
99.34	2.45068	
99.3375	2.46201	
99.335	2.45052	
99.3325	2.46007	
99.33	2.44874	
99.3275	2.41687	
99.325	2.42787	
99.3225	2.41719	
99.32	2.40651	
99.3175	2.39616	
99.315	2.38629	
99.3125	2.3769	
99.31	2.34713	
99.3075	2.35878	
99.305	2.34989	
99.3025	2.34196	
99.3	2.35442	
99.2975	2.34455	
99.295	2.33549	
99.2925	2.3274	
99.29	2.34147	
99.2875	2.31154	
99.285	2.30264	
99.2825	2.29552	
99.28	2.28792	
99.2775	2.28128	
99.275	2.29504	
99.2725	2.56814	
99.27	2.66247	
99.2675	2.71149	
99.265	2.71635	
99.2625	2.70033	
99.26	2.70454	
99.2575	2.68658	
99.255	2.6704	
99.2525	2.65373	
99.25	2.6602	
99.2475	2.66619	
99.245	2.65001	
99.2425	2.63432	
99.24	2.64047	
99.2375	2.64775	
99.235	2.63124	
99.2325	2.61587	
99.23	2.58028	
99.2275	2.56588	
99.225	2.53174	
99.2225	2.4955	
99.22	2.48385	
99.2175	2.47188	
99.215	2.46088	
99.2125	2.44842	
99.21	2.4379	
99.2075	2.40506	
99.205	2.39486	
99.2025	2.38613	
99.2	2.37593	
99.1975	2.38742	
99.195	2.37868	
99.1925	2.36914	
99.19	2.35959	
99.1875	2.37124	
99.185	2.38338	
99.1825	2.37302	
99.18	2.36445	
99.1775	2.37658	
99.175	2.36704	
99.1725	2.37901	
99.17	2.34875	
99.1675	2.36089	
99.165	2.35199	
99.1625	2.36445	
99.16	2.33403	
99.1575	2.36849	
99.155	2.40312	
99.1525	2.43628	
99.15	2.42641	
99.1475	2.4578	
99.145	2.46735	
99.1425	2.45667	
99.14	2.44664	
99.1375	2.47851	
99.135	2.4866	
99.1325	2.45424	
99.13	2.46379	
99.1275	2.47382	
99.125	2.48531	
99.1225	2.47139	
99.12	2.48191	
99.1175	2.51313	
99.115	2.52236	
99.1125	2.5319	
99.11	2.56135	
99.1075	2.5908	
99.105	2.62121	
99.1025	2.6704	
99.1	2.67671	
99.0975	2.65972	
99.095	2.64435	
99.0925	2.62768	
99.09	2.63513	
99.0875	2.61879	
99.085	2.6039	
99.0825	2.61118	
99.08	2.59727	
99.0775	2.6039	
99.075	2.61037	
99.0725	2.59565	
99.07	2.58076	
99.0675	2.56782	
99.065	2.57462	
99.0625	2.60503	
99.06	2.61086	
99.0575	2.64063	
99.055	2.71052	
99.0525	2.71554	
99.05	2.71958	
99.0475	2.70211	
99.045	2.70729	
99.0425	2.68997	
