angle (°) - amplitude	amplitude (V) - amplitude	
29.1525	3.3488	
29.155	3.33877	
29.1575	3.30738	
29.16	3.32032	
29.1625	3.3111	
29.165	3.3234	
29.1675	3.33569	
29.17	3.30414	
29.1725	3.29654	
29.175	3.2878	
29.1775	3.27809	
29.18	3.29088	
29.1825	3.30269	
29.185	3.29444	
29.1875	3.26353	
29.19	3.25593	
29.1925	3.26936	
29.195	3.26175	
29.1975	3.25285	
29.2	3.22454	
29.2025	3.23829	
29.205	3.25188	
29.2075	3.26547	
29.21	3.22373	
29.2125	3.22859	
29.215	3.22082	
29.2175	3.21451	
29.22	3.18684	
29.2225	3.20059	
29.225	3.19396	
29.2275	3.18765	
29.23	3.20318	
29.2325	3.17471	
29.235	3.1904	
29.2375	3.18328	
29.24	3.17681	
29.2425	3.19331	
29.245	3.20723	
29.2475	3.17875	
29.25	3.19477	
29.2525	3.20949	
29.255	3.22438	
29.2575	3.21775	
29.26	3.23085	
29.2625	3.22373	
29.265	3.21645	
29.2675	3.20901	
29.27	3.20254	
29.2725	3.19623	
29.275	3.18975	
29.2775	3.1629	
29.28	3.1561	
29.2825	3.12957	
29.285	3.14559	
29.2875	3.1396	
29.29	3.1561	
29.2925	3.15012	
29.295	3.18846	
29.2975	3.16128	
29.3	3.15416	
29.3025	3.12666	
29.305	3.14381	
29.3075	3.13766	
29.31	3.13199	
29.3125	3.12827	
29.315	3.12212	
29.3175	3.11727	
29.32	3.11274	
29.3225	3.12957	
29.325	3.10287	
29.3275	3.09931	
29.33	3.11533	
29.3325	3.11145	
29.335	3.12714	
29.3375	3.14381	
29.34	3.11695	
29.3425	3.09106	
29.345	3.1074	
29.3475	3.1032	
29.35	3.09883	
29.3525	3.07245	
29.355	3.04883	
29.3575	3.06566	
29.36	3.06275	
29.3625	3.03735	
29.365	3.03314	
29.3675	3.00871	
29.37	3.00741	
29.3725	3.02618	
29.375	3.04543	
29.3775	3.04236	
29.38	3.08184	
29.3825	3.12067	
29.385	3.13733	
29.3875	3.11015	
29.39	3.10578	
29.3925	3.12374	
29.395	3.13847	
29.3975	3.11209	
29.4	3.10675	
29.4025	3.08184	
29.405	3.07618	
29.4075	3.07326	
29.41	3.09025	
29.4125	3.06485	
29.415	3.03961	
29.4175	3.01469	
29.42	3.01211	
29.4225	3.00968	
29.425	2.98654	
29.4275	2.98347	
29.43	2.98234	
29.4325	2.95871	
29.435	2.97829	
29.4375	2.95467	
29.44	2.95354	
29.4425	2.90937	
29.445	2.90985	
29.4475	2.90985	
29.45	2.88688	
29.4525	2.86665	
29.455	2.86649	
29.4575	2.88947	
29.46	2.86746	
29.4625	2.84837	
29.465	2.84805	
29.4675	2.84837	
29.47	2.87167	
29.4725	2.87329	
29.475	2.87393	
29.4775	2.87474	
29.48	2.87539	
29.4825	2.85387	
29.485	2.855	
29.4875	2.85743	
29.49	2.85711	
29.4925	2.85824	
29.495	2.85889	
29.4975	2.86099	
29.5	2.84012	
29.5025	2.84044	
29.505	2.82135	
29.5075	2.82151	
29.51	2.84481	
29.5125	2.84627	
29.515	2.8262	
29.5175	2.82782	
29.52	2.8296	
29.5225	2.83138	
29.525	2.81116	
29.5275	2.83494	
29.53	2.83624	
29.5325	2.83753	
29.535	2.8186	
29.5375	2.81909	
29.54	2.84206	
29.5425	2.844	
29.545	2.84546	
29.5475	2.82491	
29.55	2.82653	
29.5525	2.80679	
29.555	2.80889	
29.5575	2.78915	
29.56	2.85743	
29.5625	3.02926	
29.565	3.13491	
29.5675	3.19412	
29.57	3.25237	
29.5725	3.26709	
29.575	3.25884	
29.5775	3.24946	
29.58	3.26289	
29.5825	3.2548	
29.585	3.29039	
29.5875	3.30317	
29.59	3.29492	
29.5925	3.26337	
29.595	3.25544	
29.5975	3.22535	
29.6	3.21952	
29.6025	3.49587	
29.605	3.58874	
29.6075	3.65912	
29.61	3.66413	
29.6125	3.68986	
29.615	3.7151	
29.6175	3.69779	
29.62	3.67902	
29.6225	3.63954	
29.625	3.60152	
29.6275	3.56479	
29.63	3.5491	
29.6325	3.51318	
29.635	3.50024	
29.6375	3.48713	
29.64	3.47322	
29.6425	3.46124	
29.645	3.4483	
29.6475	3.43665	
29.65	3.44587	
29.6525	3.4339	
29.655	3.42225	
29.6575	3.36805	
29.66	3.37889	
29.6625	3.36854	
29.665	3.33602	
29.6675	3.32582	
29.67	3.29524	
29.6725	3.28699	
29.675	3.29929	
29.6775	3.29055	
29.68	3.28198	
29.6825	3.25172	
29.685	3.24331	
29.6875	3.23651	
29.69	3.20739	
29.6925	3.22211	
29.695	3.21564	
29.6975	3.20788	
29.7	3.17956	
29.7025	3.1519	
29.705	3.21095	
29.7075	3.22503	
29.71	3.21807	
29.7125	3.21063	
29.715	3.2048	
29.7175	3.19801	
29.72	3.21224	
29.7225	3.18425	
29.725	3.19849	
29.7275	3.21419	
29.73	3.18636	
29.7325	3.17908	
29.735	3.15076	
29.7375	3.14526	
29.74	3.11873	
29.7425	3.13491	
29.745	3.13102	
29.7475	3.12488	
29.75	3.14122	
29.7525	3.1574	
29.755	3.19509	
29.7575	3.18992	
29.76	3.24654	
